combo,groups,M74,M77,M79,M80,M81,M82,M85,M87
239,ACDFHIJL,C,D,H,I,F,A,J,L
240,ACDFHIJK,C,D,H,K,F,A,J,I
241,ACDFGJKL,D,F,C,K,J,A,G,L
242,ACDFGIKL,D,F,C,K,I,A,G,L
243,ACDFGIJL,D,F,C,I,J,A,G,L
244,ACDFGIJK,D,F,C,K,J,A,G,I
245,ACDFGHKL,C,D,H,K,F,A,G,L
246,ACDFGHJL,D,F,C,H,J,A,G,L
247,ACDFGHJK,C,F,H,K,J,A,G,D
248,ACDFGHIL,C,D,H,I,F,A,G,L
249,ACDFGHIK,C,D,H,K,F,A,G,I
250,ACDFGHIJ,C,F,H,I,J,A,G,D
251,ACDEIJKL,C,D,E,K,I,A,J,L
252,ACDEHJKL,C,D,H,K,E,A,J,L
253,ACDEHIKL,C,D,H,K,I,A,E,L
254,ACDEHIJL,C,D,H,I,E,A,J,L
255,ACDEHIJK,C,D,H,K,E,A,J,I
256,ACDEGJKL,C,D,E,K,J,A,G,L
257,ACDEGIKL,C,D,E,K,I,A,G,L
258,ACDEGIJL,C,D,E,I,J,A,G,L
259,ACDEGIJK,C,D,E,K,J,A,G,I
260,ACDEGHKL,C,D,H,K,E,A,G,L
261,ACDEGHJL,C,D,H,E,J,A,G,L
262,ACDEGHJK,C,D,H,K,J,A,G,E
263,ACDEGHIL,C,D,H,I,E,A,G,L
264,ACDEGHIK,C,D,H,K,E,A,G,I
265,ACDEGHIJ,C,D,H,I,J,A,G,E
266,ACDEFJKL,D,F,C,K,E,A,J,L
267,ACDEFIKL,D,F,C,K,I,A,E,L
268,ACDEFIJL,D,F,C,I,E,A,J,L
269,ACDEFIJK,D,F,C,K,E,A,J,I
270,ACDEFHKL,C,D,H,K,F,A,E,L
271,ACDEFHJL,C,D,H,E,F,A,J,L
272,ACDEFHJK,C,F,H,K,E,A,J,D
273,ACDEFHIL,C,D,H,I,F,A,E,L
274,ACDEFHIK,C,D,H,K,F,A,E,I
275,ACDEFHIJ,C,F,H,I,E,A,J,D
276,ACDEFGKL,D,F,C,K,E,A,G,L
277,ACDEFGJL,D,F,C,E,J,A,G,L
278,ACDEFGJK,D,F,C,K,J,A,G,E
279,ACDEFGIL,D,F,C,I,E,A,G,L
280,ACDEFGIK,D,F,C,K,E,A,G,I
281,ACDEFGIJ,D,F,C,I,J,A,G,E
282,ACDEFGHL,C,D,H,E,F,A,G,L
283,ACDEFGHK,C,F,H,K,E,A,G,D
284,ACDEFGHJ,C,F,H,E,J,A,G,D
285,ACDEFGHI,C,F,H,I,E,A,G,D
286,ABGHIJKL,A,G,H,K,B,I,J,L
287,ABFHIJKL,A,F,H,K,B,I,J,L
288,ABFGIJKL,F,G,I,K,B,A,J,L
289,ABFGHJKL,F,G,H,K,B,A,J,L
290,ABFGHIKL,A,F,H,K,B,I,G,L
291,ABFGHIJL,F,G,H,I,B,A,J,L
292,ABFGHIJK,F,G,H,K,B,A,J,I
293,ABEHIJKL,A,H,E,K,B,I,J,L
294,ABEGIJKL,A,G,E,K,B,I,J,L
295,ABEGHJKL,A,G,E,K,B,H,J,L
296,ABEGHIKL,A,H,E,K,B,I,G,L
297,ABEGHIJL,A,G,E,I,B,H,J,L
298,ABEGHIJK,A,G,E,K,B,H,J,I
299,ABEFIJKL,A,F,E,K,B,I,J,L
300,ABEFHJKL,F,H,E,K,B,A,J,L
301,ABEFHIKL,F,H,E,K,B,A,I,L
